Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,397
design__inferred_latch__count,0
design__instance__count,66582
design__instance__area,1.69769E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,4297
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,505
power__internal__total,0.034777071326971054
power__switching__total,0.011199994012713432
power__leakage__total,0.000004998686563340016
power__total,0.04598206281661987
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.8979779396458322
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.8979779396458322
timing__hold__ws__corner:nom_tt_025C_3v30,0.8364504881040155
timing__setup__ws__corner:nom_tt_025C_3v30,16.04679456954376
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.836451
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,22.100836
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,341
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,399
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.6416087842624549
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.6416087842624549
timing__hold__ws__corner:min_ff_n40C_3v60,0.28014902302036404
timing__setup__ws__corner:min_ff_n40C_3v60,29.52615480128728
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.360099
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,39.769058
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count,4297
design__max_fanout_violation__count,0
design__max_cap_violation__count,505
clock__skew__worst_hold,-0.6416087842624549
clock__skew__worst_setup,0.6416087842624549
timing__hold__ws,0.28014902302036404
timing__setup__ws,16.04679456954376
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.360099
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,22.100836
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1675.0 1100.0
design__core__bbox,6.72 15.68 1668.24 1081.92
design__io,134
design__die__area,1.8425E+6
design__core__area,1.77158E+6
design__instance__count__stdcell,38990
design__instance__area__stdcell,855619
design__instance__count__macros,4
design__instance__area__macros,621654
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.833874
design__instance__utilization__stdcell,0.744065
design__rows,410
design__rows:GF018hv5v_mcu_sc7,410
design__sites,490176
design__sites:GF018hv5v_mcu_sc7,490176
design__instance__count__class:macro,4
design__instance__area__class:macro,621654
design__instance__count__class:tie_cell,209
design__instance__area__class:tie_cell,1835.19
design__instance__count__class:buffer,693
design__instance__area__class:buffer,18997.3
design__instance__count__class:inverter,3460
design__instance__area__class:inverter,38991.1
design__instance__count__class:sequential_cell,3524
design__instance__area__class:sequential_cell,242249
design__instance__count__class:multi_input_combinational_cell,20901
design__instance__area__class:multi_input_combinational_cell,402687
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,820
design__instance__area__class:endcap_cell,3600.13
design__instance__count__class:tap_cell,7050
design__instance__area__class:tap_cell,30952.3
flow__warnings__count:PDN-0110,3
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,186.48
design__instance__displacement__mean,0.0045
design__instance__displacement__max,24.64
route__wirelength__estimated,1.98019E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,1140
design__instance__area__class:timing_repair_buffer,38165.7
flow__warnings__count:RSZ-0020,1
design__instance__count__class:clock_buffer,657
design__instance__area__class:clock_buffer,68608.8
design__instance__count__class:clock_inverter,254
design__instance__area__class:clock_inverter,8293.47
flow__warnings__count:CTS-0128,1
flow__warnings__count:CTS-0132,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,42
global_route__vias,1430
global_route__wirelength,2932129
antenna__violating__nets,13
antenna__violating__pins,13
route__antenna_violation__count,13
design__instance__count__class:antenna_cell,282
design__instance__area__class:antenna_cell,1238.09
antenna_diodes_count,262
route__net,30473
route__net__special,2
route__drc_errors__iter:0,14604
route__wirelength__iter:0,2247104
route__drc_errors__iter:1,6071
route__wirelength__iter:1,2234901
route__drc_errors__iter:2,5469
route__wirelength__iter:2,2232006
route__drc_errors__iter:3,250
route__wirelength__iter:3,2229054
route__drc_errors__iter:4,59
route__wirelength__iter:4,2228949
route__drc_errors__iter:5,0
route__wirelength__iter:5,2228871
route__drc_errors,0
route__wirelength,2228871
route__vias,224140
route__vias__singlecut,224140
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2139.22
design__instance__count__class:fill_cell,27588
design__instance__area__class:fill_cell,220416
timing__unannotated_net__count__corner:nom_tt_025C_3v30,416
timing__unannotated_net_filtered__count__corner:nom_tt_025C_3v30,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,416
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count,416
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_3v30,3.29907
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_3v30,3.29963
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_3v30,0.000925145
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_3v30,0.000640596
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_3v30,0.000329408
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_3v30,0.000640596
design_powergrid__voltage__worst,0.000640596
design_powergrid__voltage__worst__net:VDD,3.29907
