Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,397
design__inferred_latch__count,0
design__instance__count,66669
design__instance__area,1.71723E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,571
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,491
power__internal__total,0.023169927299022675
power__switching__total,0.008203934878110886
power__leakage__total,0.000026358580726082437
power__total,0.03140022233128548
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.9586642862004048
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.9748107041933902
timing__hold__ws__corner:nom_tt_025C_3v30,0.893388055487616
timing__setup__ws__corner:nom_tt_025C_3v30,18.49903038669402
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.893388
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,24.643158
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,22
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,0
design__max_cap_violation__count__corner:min_ff_n40C_3v60,365
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.6722566027463144
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.6701596134380955
timing__hold__ws__corner:min_ff_n40C_3v60,0.3900047062355345
timing__setup__ws__corner:min_ff_n40C_3v60,28.476558805906254
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.390005
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,41.193230
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,7499
design__max_fanout_violation__count__corner:max_ss_125C_3v00,0
design__max_cap_violation__count__corner:max_ss_125C_3v00,644
clock__skew__worst_hold__corner:max_ss_125C_3v00,-1.6350472549790451
clock__skew__worst_setup__corner:max_ss_125C_3v00,1.7025688008003377
timing__hold__ws__corner:max_ss_125C_3v00,2.111026080360831
timing__setup__ws__corner:max_ss_125C_3v00,-20.104430689274214
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,-2327.872446029004
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,-20.104430689274214
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,2.111026
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,244
timing__setup_r2r__ws__corner:max_ss_125C_3v00,-20.104431
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,212
design__max_slew_violation__count,7499
design__max_fanout_violation__count,0
design__max_cap_violation__count,644
clock__skew__worst_hold,-0.6722566027463144
clock__skew__worst_setup,0.6701596134380955
timing__hold__ws,0.3900047062355345
timing__setup__ws,-20.104430689274214
timing__hold__tns,0.0
timing__setup__tns,-2327.872446029004
timing__hold__wns,0
timing__setup__wns,-20.104430689274214
timing__hold_vio__count,0
timing__hold_r2r__ws,0.390005
timing__hold_r2r_vio__count,0
timing__setup_vio__count,244
timing__setup_r2r__ws,-20.104431
timing__setup_r2r_vio__count,212
design__die__bbox,0.0 0.0 1675.0 1110.0
design__core__bbox,6.72 15.68 1668.24 1093.68
design__io,134
design__die__area,1.85925E+6
design__core__area,1.79112E+6
design__instance__count__stdcell,40639
design__instance__area__stdcell,899973
design__instance__count__macros,4
design__instance__area__macros,621654
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.84954
design__instance__utilization__stdcell,0.76956
design__rows,413
design__rows:GF018hv5v_mcu_sc7,413
design__sites,499077
design__sites:GF018hv5v_mcu_sc7,499077
design__instance__count__class:macro,4
design__instance__area__class:macro,621654
design__instance__count__class:tie_cell,209
design__instance__area__class:tie_cell,1835.19
design__instance__count__class:buffer,692
design__instance__area__class:buffer,22083.7
design__instance__count__class:inverter,3505
design__instance__area__class:inverter,40567.3
design__instance__count__class:sequential_cell,3524
design__instance__area__class:sequential_cell,243957
design__instance__count__class:multi_input_combinational_cell,20905
design__instance__area__class:multi_input_combinational_cell,412856
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,826
design__instance__area__class:endcap_cell,3626.47
design__instance__count__class:tap_cell,7176
design__instance__area__class:tap_cell,31505.5
flow__warnings__count:PDN-0110,3
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,141.68
design__instance__displacement__mean,0.003
design__instance__displacement__max,14.56
route__wirelength__estimated,2.20513E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,2776
design__instance__area__class:timing_repair_buffer,66947
flow__warnings__count:RSZ-0020,1
design__instance__count__class:clock_buffer,654
design__instance__area__class:clock_buffer,68542.9
design__instance__count__class:clock_inverter,253
design__instance__area__class:clock_inverter,7529.54
flow__warnings__count:CTS-0128,1
flow__warnings__count:CTS-0132,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,67
global_route__vias,1119
global_route__wirelength,3225843
antenna__violating__nets,7
antenna__violating__pins,7
route__antenna_violation__count,7
design__instance__count__class:antenna_cell,119
design__instance__area__class:antenna_cell,522.458
antenna_diodes_count,99
route__net,32156
route__net__special,2
route__drc_errors__iter:0,18125
route__wirelength__iter:0,2479991
route__drc_errors__iter:1,7661
route__wirelength__iter:1,2466921
route__drc_errors__iter:2,6973
route__wirelength__iter:2,2463234
route__drc_errors__iter:3,983
route__wirelength__iter:3,2459698
route__drc_errors__iter:4,475
route__wirelength__iter:4,2459307
route__drc_errors__iter:5,124
route__wirelength__iter:5,2459426
route__drc_errors__iter:6,42
route__wirelength__iter:6,2459371
route__drc_errors__iter:7,0
route__wirelength__iter:7,2459276
route__drc_errors,0
